ITEM,DIST. A,DIST. B, AMOUNT ,BUDGETARY CATEGORY
Alamo  Area Streets,1,," $13,736,000 ","street, bridge, and sidewalk improvements"
Broadway (Houston St. to Hildebrand),1,2," $43,000,000 ","street, bridge, and sidewalk improvements"
Camaron (Houston to Fox Tech) Pedestrian Improvements,1,," $4,500,000 ","street, bridge, and sidewalk improvements"
Commerce Street (Santa Rosa to Frio),1,," $14,000,000 ","street, bridge, and sidewalk improvements"
Commerce Street (St. Mary’s to Santa Rosa),1,," $6,000,000 ","street, bridge, and sidewalk improvements"
District 1 Pedestrian Mobility,1,," $10,000,000 ","street, bridge, and sidewalk improvements"
Flores / Fredericksburg (Five Points) Intersection Improvements,1,," $3,000,000 ","street, bridge, and sidewalk improvements"
Hemisfair Internal Streets Phase 2,1,," $5,000,000 ","street, bridge, and sidewalk improvements"
Main and Soledad (Pecan to Navarro),1,," $12,000,000 ","street, bridge, and sidewalk improvements"
San Saba (Dolorosa to West  Martin),1,," $7,000,000 ","street, bridge, and sidewalk improvements"
Santa Rosa (Cesar Chavez to Houston),1,," $14,000,000 ","street, bridge, and sidewalk improvements"
South Alamo  (Market to Cesar Chavez),1,," $9,000,000 ","street, bridge, and sidewalk improvements"
St. Mary’s Street Improvements (Mistletoe to Josephine),1,," $7,000,000 ","street, bridge, and sidewalk improvements"
District 2 Pedestrian Mobility,2,," $6,000,000 ","street, bridge, and sidewalk improvements"
Lamar (Austin to New Braunfels),2,," $2,500,000 ","street, bridge, and sidewalk improvements"
New Braunfels Phase 1 (Houston to Burleson),2,," $9,000,000 ","street, bridge, and sidewalk improvements"
Rittiman  / Gibbs Sprawl  Overpass,2,," $6,000,000 ","street, bridge, and sidewalk improvements"
Applewhite Intersection Improvement (South of Watson Road),3,," $1,000,000 ","street, bridge, and sidewalk improvements"
Brooks  City Base  (Research Plaza to South Presa) Stinson Corridor,3,," $10,000,000 ","street, bridge, and sidewalk improvements"
"Brooks  City Base(S. New Braunfels to Lyster Road  to Aviation  Landing)",3,," $10,400,000 ","street, bridge, and sidewalk improvements"
Brooks  City Base-Inner Circle (Louis Bauer to Research),3,," $3,000,000 ","street, bridge, and sidewalk improvements"
District 3 Pedestrian Mobility,3,," $9,000,000 ","street, bridge, and sidewalk improvements"
Goliad (Fair Avenue to East Southcross),3,," $12,937,000 ","street, bridge, and sidewalk improvements"
Mission  Road  (San Antonio River to SE Military Drive) (World  Heritage),3,," $2,000,000 ","street, bridge, and sidewalk improvements"
Roosevelt Avenue (Hwy 90 to Loop 410)  (World  Heritage),3,," $8,000,000 ","street, bridge, and sidewalk improvements"
South Presa (SE Military to Southcross) (World  Heritage),3,," $5,000,000 ","street, bridge, and sidewalk improvements"
Southcross (IH 37 to IH 35) (World  Heritage),3,," $5,000,000 ","street, bridge, and sidewalk improvements"
World  Heritage Trail Signage & Wayfinding,3,," $5,000,000 ","street, bridge, and sidewalk improvements"
Bynum Road  (W. Gerald to SW Military),4,," $7,730,000 ","street, bridge, and sidewalk improvements"
District 4 Pedestrian Mobility,4,," $7,000,000 ","street, bridge, and sidewalk improvements"
Zarzamora / Applewhite Intersection,4,," $900,000 ","street, bridge, and sidewalk improvements"
District 5 Pedestrian Mobility,5,," $10,000,000 ","street, bridge, and sidewalk improvements"
